ID,Name,Street,City
1,Weihnachtsmarkt vor dem Schloss Charlottenburg,Spandauer Damm,14059 Berlin
2,Weihnachtsmarkt an der Gedächtniskirche,Breitscheidplatz ,10789 Berlin
3,Weihnachtsmarkt in der Fußgängerzone Wilmersdorfer Straße,Wilmersdorfer Straße ,10627 Berlin
4,Weihnachtsmarkt Berlin-Grunewald des Johannischen Sozialwerks,St.-Michaels-Heim Bismarckallee 23,14193 Berlin
5,schwedischer Weihnachtsbasar,Landhausstraße 26,10717 Berlin
6,Dänischer Weihnachtsmarkt,Brienner Str. 12,10713 Berlin
7,Weihnachtsmarkt rund um die Grunewaldkirche,Bismarckallee 28b,14193 Berlin
8,Nicolausmarkt der Beschäftigungs- und Bildungsträger (Rundhof des Rathauses Wilmersdorf),Fehrbelliner Platz 4,10702 Berlin
9,Kunsthandwerklicher Weihnachtsmarkt vor dem Bröhanmuseum,Schloßstr. 1/1a,14059 Berlin
10,KiezWeihnacht an der Samariterstraße,Samariterstraße 14,10247 Berlin
11,Lichtermarkt am Rathaus Lichtenberg,Möllendorfstr. 6,10367 Berlin
12,Weihnachtsmarkt im Marktplatz Center Hellersdorf,Stendaler Straße 24,12627 Berlin
13,Weihnachten im EASTGATE Berlin,Marzahner Promenade 1a,12679 Berlin
14,Weihnachtsmarkt im Spree-Center-Hellersdorf,Hellersdorfer Straße 77-83,12619 Berlin
15,15. Kaulsdorfer Weihnachtsmarkt,Dorfstraße,12621 Berlin
16,Wintertraum am ALEXA,Dircksenstraße bis Voltairestraße,10179 Berlin
17,Weihnachstmarkt u. Winterwelt am Potsdamer Platz,Potsdamer Platz,10785 Berlin
18,Berliner Weihnachtszeit,Rathausstraße 15,10178 Berlin
19,Weihnachtsmarkt Alex (vor der Galeria Kaufhof),Alexanderplatz 9,10178 Berlin
20,WeihnachtsZauber Gendarmenmarkt,Gendarmenmarkt,10117 Berlin
21,Nostalgischer Weihnachtsmarkt rund um das Opernpalais,Unter den Linden 5,10117 Berlin
22,16. Umwelt- und Weihnachtsmarkt in der Sophienstraße,Sophienstraße,10178 Berlin
23,"Weihnachtsmarkt im Sony-Center ""Brillinat Xmas Season 2011""",Bellvuestr. 3,10785 Berlin
24,Weihnachtsmarkt in den Gropius Passagen,Johannisthaler Chaussee 317,12351 Berlin
25,Wittenberger Puppenbühne,Johannisthaler Chaussee 317,12351 Berlin
26,Historischer Weihnachtsmarkt auf dem Gutshof des Schlosses Britz,Alt-Britz 73,12359 Berlin
27,Adventsbasar in neu-Buckow,Marienfelder Chaussee 66-72,12349 Berlin
28,Alt-Buckower Adventsmarkt,Alt-Buckow 4-38,12349 Berlin
29,Britzer Adventsmarkt,Backbergstr. 38 ,12345 Berlin
30,Alt-Rixdorfer Weihnachtsmarkt,Richardplatz,12055 berlin
31,Rudower Adventsmeile,Alt-Rudow,12357 Berlin
