ID,Name,Street,City,Latitude,Longitude
1,Weihnachtsmarkt vor dem Schloss Charlottenburg,Spandauer Damm,14059 Berlin,52.51981199999999,13.299218
2,Weihnachtsmarkt an der Gedächtniskirche,Breitscheidplatz ,10789 Berlin,52.5049,13.33651
3,Weihnachtsmarkt in der Fußgängerzone Wilmersdorfer Straße,Wilmersdorfer Straße ,10627 Berlin,52.50691279999999,13.3066962
4,Weihnachtsmarkt Berlin-Grunewald des Johannischen Sozialwerks,St.-Michaels-Heim Bismarckallee 23,14193 Berlin,52.4675293,13.2107326
5,schwedischer Weihnachtsbasar,Landhausstraße 26,10717 Berlin,52.4874,13.3287
6,Dänischer Weihnachtsmarkt,Brienner Str. 12,10713 Berlin,52.48809,13.31249
7,Weihnachtsmarkt rund um die Grunewaldkirche,Bismarckallee 28b,14193 Berlin,52.48543,13.27483
8,Nicolausmarkt der Beschäftigungs- und Bildungsträger (Rundhof des Rathauses Wilmersdorf),Fehrbelliner Platz 4,10702 Berlin,52.4898478,13.3131004
9,Kunsthandwerklicher Weihnachtsmarkt vor dem Bröhanmuseum,Schloßstr. 1/1a,14059 Berlin,52.5189457,13.2957964
10,KiezWeihnacht an der Samariterstraße,Samariterstraße 14,10247 Berlin,52.51766,13.46609
11,Lichtermarkt am Rathaus Lichtenberg,Möllendorfstr. 6,10367 Berlin,52.5222834,13.4790962
12,Weihnachtsmarkt im Marktplatz Center Hellersdorf,Stendaler Straße 24,12627 Berlin,52.53749,13.60488
13,Weihnachten im EASTGATE Berlin,Marzahner Promenade 1a,12679 Berlin,52.54282,13.54264
14,Weihnachtsmarkt im Spree-Center-Hellersdorf,Hellersdorfer Straße 77-83,12619 Berlin,52.52094349999999,13.5876211
15,15. Kaulsdorfer Weihnachtsmarkt,Dorfstraße,12621 Berlin,52.50882,13.57909
16,Wintertraum am ALEXA,Dircksenstraße bis Voltairestraße,10179 Berlin,52.51720049999999,13.4147962
17,Weihnachstmarkt u. Winterwelt am Potsdamer Platz,Potsdamer Platz,10785 Berlin,52.50959659999999,13.3719255
18,Berliner Weihnachtszeit,Rathausstraße 15,10178 Berlin,52.51922,13.40844
19,Weihnachtsmarkt Alex (vor der Galeria Kaufhof),Alexanderplatz 9,10178 Berlin,52.52299,13.41132
20,WeihnachtsZauber Gendarmenmarkt,Gendarmenmarkt,10117 Berlin,52.51421,13.39143
21,Nostalgischer Weihnachtsmarkt rund um das Opernpalais,Unter den Linden 5,10117 Berlin,52.5166343,13.3962165
22,16. Umwelt- und Weihnachtsmarkt in der Sophienstraße,Sophienstraße,10178 Berlin,52.5258167,13.4005727
23,"Weihnachtsmarkt im Sony-Center 'Brillinat Xmas Season 2011'",Bellvuestr. 3,10785 Berlin,52.51039,13.37365
24,Weihnachtsmarkt in den Gropius Passagen,Johannisthaler Chaussee 317,12351 Berlin,52.43004999999999,13.45761
25,Wittenberger Puppenbühne,Johannisthaler Chaussee 317,12351 Berlin,52.43004999999999,13.45761
26,Historischer Weihnachtsmarkt auf dem Gutshof des Schlosses Britz,Alt-Britz 73,12359 Berlin,52.44696,13.43781
27,Adventsbasar in neu-Buckow,Marienfelder Chaussee 66-72,12349 Berlin,52.41866,13.41635
28,Alt-Buckower Adventsmarkt,Alt-Buckow 4-38,12349 Berlin,52.4235322,13.4356365
29,Britzer Adventsmarkt,Backbergstr. 38 ,12345 Berlin,52.44827000000001,13.43695
30,Alt-Rixdorfer Weihnachtsmarkt,Richardplatz,12055 berlin,52.47432939999999,13.4453068
31,Rudower Adventsmeile,Alt-Rudow,12357 Berlin,52.4200206,13.4923653
32,Lucia Weihnachtsmarkt in der Kulturbrauerei,Schönhauser Allee 36-39,10435 Berlin,52.53854,13.41282
33,Öko-Adventsmarkt der GRÜNEN LIGA am Kollwitzplatz,Wörther Straße,10405 Berlin,52.53608,13.41874
34,Weihnachtsmarkt der Sinne,Blankenfelder Str. 106,13127 Berlin (Buchholz),52.60886,13.41528
35,Nikolausmarkt auf dem Kinderbauernhof Pinkepanke,Am Bürgerpark 15-18 ,13156 Berlin,52.569187,13.388836
36,"Weihnachtsmarkt im 'Clou'",Kurt-Schuhmacher-Platz 1,12405 Berlin,52.56338,13.32819
37,Weihnachtsmarkt in den Hallen Am Borsigturm,Am Borsigturm 2,13507 Berlin,52.58576,13.28706
38,IX. Kunsthandwerklicher Weihnachtsmarkt Frohnau,Edelhofdamm   1-12,12465 Berlin,52.63399,13.29199
39,Weihnachtsmarkt vor der Johanneskirche Frohnau,Zeltinger Platz 18,13465 Berlin,52.63414,13.29209
40,"40. 'Spandauer Weihnachtstraum' ",Rathaus Spandau,13597 Berlin,52.5347982,13.2002449
41,38. Traditioneller Spandauer Weihnachtsmarkt,Spandauer Altstadt,13597 Berlin,52.5389877,13.2056093
42,Weihnachtsmarkt im Evangelischen Johannesstift,Schönwalder Allee 26,13587 Berlin,52.5688155,13.1934857
43,Goldnetz Sozial- und Weihnachtsmarkt Spandau,Zitadellenweg 34,13599 Berlin,52.53912400000001,13.2188652
44,Adventsmarkt auf der Domäne Dahlem,Königin-Luise-Str. 49,14195 Berlin,52.4580899,13.2897609
45,Weihnachtsmarkt auf dem Ferdinandplatz,Ferdinandstr. 34/35,12209 Berlin,52.4279344,13.3283511
46,Advent-Künstlerstation am Bahnhof Mexikoplatz,Bahnhof Mexikoplatz,14163 Berlin,52.436937,13.232712
47,Märchenhafter Weihnachtsmarkt am Jagdschloss Grunewald,Hüttenweg 100 (Am Grunewaldsee),14193 Berlin,52.4703847,13.263182
48,Weihnachtlicher Kunstmarkt,"Villa Grüntal, Seehofstr. 12",14169 Berlin,52.43383,13.26504
49,Großer Adventsbasar im Gemeindehaus,Kirchweg 6,14129 Berlin,52.4252018,13.2045497
50,Weihnachtshaus in der Villa Donnersmarck,Schädestr. 9-13,14165 Berlin,52.42718,13.25836
51,32. Weihnachtsmarkt in der Bahnhofstraße Lichtenrade,Bahnhofstrasse Lichtenrade,12305 Berlin,52.38695,13.40347
52,22. Weihnachtsmarkt auf dem Winterfeldtplatz,Winterfeldtplatz ,10785 Berlin,52.4957378,13.3544831
53,17. Weihnachtsmarkt auf Lehmanns Bauernhof,Alt-Marienfelde 37,12277 Berlin,52.4121736,13.3664602
54,35. Lichtenrader Lichtermarkt,Alt-Lichtenrade,12305 Berlin,52.401749,13.4082796
55,27. Marienfelder Weihnachtsmarkt,Alt-marienfelde 36,12277 Berlin,52.41275,13.36764
56,17. Alternativer Weihnachtsmarkt Friedrichshagen,S-Bahnhof Friedrichshagen,12587 Berlin,52.4572908,13.6233902
57,Weihnachtsmarkt rund um den Schlossplatz,Rosenstraße 1-3,12555 Berlin,52.44589999999999,13.57524
58,Weihnachtsmarkt in den Späth'schen Baumschulen,Späthstr. 80-81,12437 Berlin,52.45434,13.47371
59,Weihnachtsmarkt Bölscherstraße von der Firma Hirche,Marktplatz Bölschestraße,12587 Berlin,52.4520311,13.6246138
60,Lichtermarkt an der Christuskirche,Firlstr. 16,12459 berlin,52.4634807,13.523547
61,Weihnachtsmarkt von der Bühne Grünau e.V.,Don-Ugoletti-Platz,12527 Berlin,52.4179342,13.5781906
62,"Weihnachtsmarkt Angermünde 'Gänsemarkt'",Kleiner Marktplatz,16278 Angermünde,53.0145422,13.996593
63,Weihnachtsmarkt Baruth in der Glashütte,Museumsdorf Baruther Glashütte,15837 Baruth,52.02751,13.5784
64,Weihnachtsmarkt in Bernau,Marktplatz,16321 Bernau bei Berlin,52.67928999999999,13.58783
65,Weihnachtsmarkt Brandenburg an der Havel,Neustädtischer Markt 3,14770 Brandenburg an der Havel,52.40896919999999,12.5639087
66,Burger Adventsfest,Festplatz,03096 Burg (Spreewald),51.833,14.15
67,Weihnachtsmarkt Eberswalde,Marktplatz ,16225 Eberswalde,52.8403489,13.7289175
68,"Weihnachtsmarkt in Falkensee, Creatives Zentrum Haus am Anger/Falkenhagener Dorfanger",Falkenhagener Str. 16,14612 Falkensee,52.56623,13.10503
69,Frankfurter Weihnachtsmarkt,Marktplatz 1,15230 Frankfurt (Oder),52.34458,14.55424
70,Weihnachtsmarkt in Hennigsdorf,Postplatz,16761 Hennigsdorf,52.63786,13.20539
71,Historischer Adventsmarkt in Jüterborg,Markt 34,14913 Jüterbog,51.99128529999999,13.0797462
72,Weihnachtsmarkt in Ketzin,Marktplatz,14669 Ketzin/Havel,52.5098925,12.8314751
73,Adventsmarkt Rochow-Museum Schloss Reckahn,Schloss Reckahn,14797 Kloster Lehnin OT Reckahn,52.33716,12.53977
74,Königs Wusterhausener Kinderweihnacht,Am Schloss,15711 Königs Wusterhausen,52.2980578,13.6243873
75,Weihnachtsmarkt Kremmen,Scheunenviertel,16766 Kremmen,52.7838106,13.0079984
76,Liebenberger Weihnachtsmarkt,Parkweg 1,16775 Löwenberger Land,52.8943024,13.258009
77,Luckenwalder Märchenweihnachts-markt,Marktplatz,14943 Luckenwalde,52.0903895,13.1636906
78,Weihnachtsmarkt Lychen,Markt,17279 Lychen,53.20996,13.31514
79,Müllroser Weihnachtszauber,Markt 14,15299 Müllrose,52.24601,14.41516
80,Adventsbasar - Weihnachtsmarkt in Nauen,Zu den Luchbergen 13,14641 Nauen,52.59943000000001,12.88835
81,5. Nauener Hofweihnacht,Marktstraße 3,14641 Nauen,52.60682,12.87715
82,Neuruppiner Weihnachtsmarkt,Niemöllerplatz 1,16816 Neuruppin,52.907837,12.7724911
83,Weihnachtsmarkt in Neuzelle,Stiftsplatz,15898 Neuzelle,52.0901,14.65374
84,Hohenseefelder Weihnachtsmarkt,Chausseestr. 12,14913 Nieder Fläming,51.8904478,13.302837
85,Weihnachtsgans-Auguste-Markt 2011,Schlossplatz 1,16515 Oranienburg,52.7532925,13.2366165
86,Weihnachtsmarkt in den Bahnhofspassagen,Friedrich-Engels-Str 99,14473 Potsdam,52.39118999999999,13.0662
87,Blauer Lichterglanz,Brandenburger Straße,14467 Potsdam,52.4002479,13.0535664
88,Böhmischer Weihnachtsmarkt,Weberplatz,14482 Potsdam-Babelsberg,52.3941995,13.0951287
89,Romantischer Weihnachtsmarkt auf dem Krongut,Ribbeckstr. 6-7,14469 Potsdam,52.408103,13.0302968
90,Potsdamer Sternenmarkt,Schloßstr. 12,14467 Potsdam,52.39564,13.05682
91,Holländischer Weihnachtsmarkt Sinterklaas-Fest,Holländisches Viertel,14467 Potsdam,52.40394999999999,13.062593
92,Weihnachtsmarkt im Naturparkzentrum Hoher Fläming (Alte Brennerei und Burg Rabenstein),Brennereiweg 45,14823 Rabenstein,52.04149,12.57811
93,Teltower Weihnachtsmarkt (rund um die Andreaskirche und Marktplatz),Marktplatz 2,14513 Teltow,52.40148,13.26325
94,Schultzen's Adventszauber,Marktplatz,14542 Werder (Havel),52.364,12.9363
95,Märchen-Weihnachtsmarkt Wittenberge ,Paul-Lincke-Platz,19322 Wittenberge,52.99606,11.75492
96,Weihnachstmarkt Zeuthen,Martin-Luther-Kirche,15738 Zeuthen,52.3494714,13.6231843
